id,name,sex,year,form,house,tutor,dob,age_sept,heritage,home_language,eal,pupil_premium,sen_status,sen_primary_need,avg_working_grade,reading_age,best_subject,weakest_subject,attendance_pct,lates_this_term,behaviour_points,detentions,suspensions,behaviour_tier,attendance_concern,emotionally_based_school_avoidance,description
HAR1011,Zahid Ali,M,7,7A,Lea,Mr D. Okonjo,2014-12-27,11.7,British Bangladeshi,Bengali,Yes - developing,No,None,,4.3,11y 1m,PE,English,96.9,0,19,1,0,ok,False,False,"Zahid Ali sits mid-table across the board and is happy there, which frustrates his tutor. Average working grade 4.3. PE is well above the rest; English is dragging the profile down. 19 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance 96.9%. The only absences are medical and always covered by a note. At home it's mum, dad and grandad, in a house with a converted loft room. Whoever's home in the morning is doing four school runs, so he's largely left to sort himself out. One of the leaders in boxercise; it's the one place he's consistently brilliant."
HAR1012,Latoya Grant,F,7,7A,Lea,Mr D. Okonjo,2015-04-14,11.4,Black Caribbean / Mixed Black Caribbean,English,No,Yes,None,,4.0,10y 4m,History,English,92.3,3,27,4,0,ok,False,False,"Latoya Grant is pleasant, chatty and easily distracted, but the work gets done in the end. Average of 4.0 across the board, with a big spread between History and English. 27 points logged - low-level stuff: chatting, out of seat, phone on the desk. 92.3% attendance - enough to trigger a letter home but not a fine. At home it's mum only, in a council flat on the fourth floor. Supportive at home, but stretched thin. Quietly good at dog walking for money, which nobody at school knew until Year 9."
HAR1013,Sagal Barre,F,7,7A,Lea,Mr D. Okonjo,2015-01-11,11.6,Black African (Somali),Somali,Yes - developing,Yes,None,,3.8,9y 2m,Science,Maths,96.1,0,10,2,0,ok,False,False,"Sagal Barre is pleasant, chatty and easily distracted, but the work gets done in the end. Average working grade 3.8. Science is well above the rest; Maths is dragging the profile down. Literacy is the bottleneck: reading age 9y 2m and handwriting that she's embarrassed about. 10 points logged - low-level stuff: chatting, out of seat, phone on the desk. Attendance 96.1%. The only absences are medical and always covered by a note. At home it's foster carers, in a flat with a lift that never works. The family are on the phone to the office constantly - engaged, if a bit much. Obsessed with drill and UK rap to the point of doing homework about it unprompted."
HAR1014,Shane Wright,M,7,7A,Lea,Mr D. Okonjo,2014-09-21,11.9,White British,English,No,No,SEN Support (K),"SEMH - Social, Emotional & Mental Health",5.4,9y 0m,Maths,Art,91.4,20,204,25,1,poor,False,False,"Shane Wright has SEMH - Social, Emotional & Mental Health and does far better with structure, warning of changes and a bit of patience. Working at grade 5.4 on average, with Maths the clear strength and Art the obvious weak spot. 204 points and 25 detentions. Walked out of Maths shouting ""this lesson is dead"" and slammed the door hard enough to crack the glass. Attendance has slipped to 91.4% and there's a pattern of Monday mornings. Lives on the flats behind the Roman Road with mum, dad and four siblings, in a maisonette off the high street. One of the leaders in photography club; it's the one place he's consistently brilliant."
HAR1015,Talia Beckford,F,7,7A,Lea,Mr D. Okonjo,2014-10-16,11.9,Black Caribbean / Mixed Black Caribbean,English,No,No,None,,2.4,9y 9m,English,Computing,95.3,0,0,0,0,good,False,False,"Talia Beckford has been on the intervention list for two years and progress has been slow at best. Currently 2.4 on average - on target in English, a full two grades off in Computing. Nothing on the behaviour log worth reading - 0 points total. Attendance sits at 95.3% with no unauthorised absence. Home is in a one-bed with the living room as a bedroom with both parents, both working in the family business. Whoever's home in the morning is doing four school runs, so she's largely left to sort herself out. Goes to Eco Club every week without fail. Young carer - registered with the borough."
HAR1016,Farhana Alam,F,7,7A,Lea,Mr D. Okonjo,2014-10-02,11.9,British Bangladeshi,Bengali,No,No,None,,7.5,13y 4m,Science,Maths,91.6,15,2,0,0,good,False,False,"Farhana Alam is a high flyer with the kind of exercise books other teachers photocopy as an example. Average working grade 7.5. Science is well above the rest; Maths is dragging the profile down. 2 behaviour points, which for this school is nothing at all. 91.6% attendance - enough to trigger a letter home but not a fine. Lives on the new blocks by the canal with an uncle who is also her named carer. Housing changed twice in the last two years and you can see it in the exercise books. Talks about doing nails and lashes for cousins constantly, in and out of lesson."
HAR1017,Nasteho Egal,F,7,7A,Lea,Mr D. Okonjo,2015-06-16,11.2,Black African (Somali),Somali,No,Yes,SEN Support (K),MLD - Moderate Learning Difficulty,7.4,11y 4m,Drama,English,95.5,0,85,10,0,mixed,False,False,"Nasteho Egal has MLD - Moderate Learning Difficulty and does far better with structure, warning of changes and a bit of patience. Drama is her best subject by a distance. English is the one her tutor has to chase every report. 85 behaviour points, mostly talking, phones and being late to period one. Attendance 95.5%. The only absences are medical and always covered by a note. Lives on the Carpenters Estate with mum, dad and grandad, above a shop on the parade. The family are on the phone to the office constantly - engaged, if a bit much. Obsessed with Leyton Orient to the point of doing homework about it unprompted. Off-site alternative provision two days a week."
HAR1018,Ollie Doyle,M,7,7A,Lea,Mr D. Okonjo,2015-08-24,11.0,White British,English,No,Yes,SEN Support (K),"SLCN - Speech, Language & Communication",5.7,9y 2m,English,Spanish,97.0,2,125,19,1,poor,False,False,"Ollie Doyle is the loudest voice in every corridor between lessons. Average of 5.7 across the board, with a big spread between English and Spanish. 125 behaviour points, 1 suspension, and a permanent exclusion narrowly avoided after an incident with a vape and a fire alarm. 97.0% attendance and always on time. Home is in a terraced house shared with an aunt's family with foster carers. The commute in is two buses and it shows in the punctuality data. Spends every break on Arsenal. Young carer - registered with the borough."
HAR1019,Nuur Aden,M,7,7A,Lea,Mr D. Okonjo,2015-07-23,11.1,Black African (Somali),Somali,Yes - developing,No,None,,5.9,11y 7m,Drama,English,94.0,0,12,3,0,ok,False,False,"Nuur Aden is pleasant, chatty and easily distracted, but the work gets done in the end. Sits on grade 5.9 overall. Teachers in Drama rate him highly, staff in English much less so. 12 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance has slipped to 94.0% and there's a pattern of Monday mornings. At home it's mum and three younger siblings, in a one-bed with the living room as a bedroom. The commute in is two buses and it shows in the punctuality data. Goes to steel pans every week without fail."
HAR1020,Tasnim Islam,F,7,7A,Lea,Mr D. Okonjo,2015-02-24,11.5,British Bangladeshi,Sylheti,No,No,None,,5.7,11y 9m,RE,Art,93.2,1,77,10,0,mixed,False,False,"Tasnim Islam is pleasant, chatty and easily distracted, but the work gets done in the end. RE is her best subject by a distance. Art is the one her tutor has to chase every report. 77 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. 93.2% attendance - enough to trigger a letter home but not a fine. At home it's mum, stepdad and a new baby, in a house with a converted loft room. Would rather be at football (girls') than in any lesson and says so openly."
HAR1021,Ruksana Islam,F,7,7A,Lea,Mr D. Okonjo,2014-10-14,11.9,British Bangladeshi,Bengali,Yes - developing,Yes,None,,5.9,11y 3m,Maths,Design & Technology,91.9,13,137,27,1,poor,False,False,"Ruksana Islam runs the room if you let her, and most supply teachers let her. Working at grade 5.9 on average, with Maths the clear strength and Design & Technology the obvious weak spot. 137 points and 27 detentions. Walked out of Maths shouting ""this lesson is dead"" and slammed the door hard enough to crack the glass. Attendance 91.9%. Punctuality is the bigger problem: 13 lates this term. Lives on the new blocks by the canal with aunt and uncle and five cousins. Obsessed with karate to the point of doing homework about it unprompted."
HAR1022,Babatunde Adeleke,M,7,7A,Lea,Mr D. Okonjo,2015-08-03,11.1,Black African (Nigerian),Nigerian Pidgin,Yes - fluent,Yes,None,,4.2,9y 3m,RE,English,100.0,0,6,0,0,good,False,False,"Babatunde Adeleke is reliable in lessons he likes and drifts badly in the ones he doesn't. Currently 4.2 on average - on target in RE, a full two grades off in English. 6 points logged, every one of them for uniform or equipment rather than conduct. Attendance 100.0%. The only absences are medical and always covered by a note. At home it's both parents and twin sisters, in a house with a converted loft room. English isn't the main language at home, so letters get read by an older sibling. Spends every break on cars and car spotting."
HAR1023,Ifeanyi Nnaji,M,7,7A,Lea,Mr D. Okonjo,2015-06-10,11.2,Black African (Nigerian),Igbo,Yes - fluent,Yes,None,,9.0,13y 7m,English,Science,91.9,9,63,6,1,mixed,False,False,"Ifeanyi Nnaji is one of those students who makes a lesson easier just by being in it. Currently 9.0 on average - on target in English, a full two grades off in Science. 63 points logged - low-level stuff: chatting, out of seat, phone on the desk. 91.9% attendance - enough to trigger a letter home but not a fine. At home it's mum and her partner, in a flat with a lift that never works. Nobody at home has the confidence to challenge the school, which staff are conscious of. Goes to boxercise every week without fail. Recently bereaved - lost his grandfather last year and it shows."
HAR1024,Miraj Kabir,M,7,7A,Lea,Mr D. Okonjo,2014-11-20,11.8,British Bangladeshi,Sylheti,Yes - developing,No,None,,6.1,11y 8m,Maths,Science,100.0,2,89,13,0,mixed,False,False,"Miraj Kabir is a solid, steady student who does what's asked and not a great deal more. Currently 6.1 on average - on target in Maths, a full two grades off in Science. 89 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance 100.0% - never an issue. Lives with an uncle who is also his named carer in a one-bed with the living room as a bedroom. Older siblings came through Harford as well and staff remember the surname. Quietly good at dog walking for money, which nobody at school knew until Year 9."
HAR1025,Naomi Beckford,F,7,7A,Lea,Mr D. Okonjo,2014-10-19,11.9,Black Caribbean / Mixed Black Caribbean,Jamaican Patois,No,No,None,,7.1,13y 4m,Design & Technology,Maths,92.9,4,8,1,0,good,False,False,"Naomi Beckford sits near the front, works from the second the bell goes, and rarely needs telling twice. Design & Technology is her best subject by a distance. Maths is the one her tutor has to chase every report. Nothing on the behaviour log worth reading - 8 points total. Attendance 92.9%, which the year team are keeping an eye on. Lives with an uncle who is also her named carer in a one-bed with the living room as a bedroom. Whoever's home in the morning is doing four school runs, so she's largely left to sort herself out. Obsessed with fixing phones to the point of doing homework about it unprompted. On a pastoral support plan after a difficult autumn term."
HAR1026,Rabeya Aktar,F,7,7A,Lea,Mr D. Okonjo,2015-05-12,11.3,British Bangladeshi,Sylheti,Yes - fluent,Yes,None,,5.0,10y 0m,Maths,RE,94.8,1,29,1,0,ok,False,False,"Rabeya Aktar is quiet to the point of being invisible in some lessons and staff have to make an effort to notice her. Working at grade 5.0 on average, with Maths the clear strength and RE the obvious weak spot. 29 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance has slipped to 94.8% and there's a pattern of Monday mornings. At home it's both parents and an older brother, in a maisonette off the high street. Supportive at home, but stretched thin. Spends every break on cars and car spotting."
HAR1027,Rahma Sheikh,F,7,7A,Lea,Mr D. Okonjo,2015-04-05,11.4,Black African (Somali),Somali,No,Yes,None,,3.2,9y 10m,RE,Maths,96.5,1,8,0,0,good,False,False,"Rahma Sheikh can do the work when someone sits with her, and almost never does it when nobody does. Working at grade 3.2 on average, with RE the clear strength and Maths the obvious weak spot. 8 points logged, every one of them for uniform or equipment rather than conduct. Attendance sits at 96.5% with no unauthorised absence. At home it's aunt and uncle and five cousins, in a council flat on the fourth floor. The family are on the phone to the office constantly - engaged, if a bit much. Runs Islamic Society lunchtime prayer and takes it more seriously than most of the staff do."
HAR1028,Rifat Rahman,M,7,7A,Lea,Mr D. Okonjo,2015-08-02,11.1,British Bangladeshi,Sylheti,Yes - fluent,Yes,None,,4.2,10y 4m,Computing,English,100.0,3,3,1,0,good,False,False,"Rifat Rahman is pleasant, chatty and easily distracted, but the work gets done in the end. Currently 4.2 on average - on target in Computing, a full two grades off in English. Nothing on the behaviour log worth reading - 3 points total. Attendance sits at 100.0% with no unauthorised absence. Lives on the Carpenters Estate with both parents and an older brother, in a terraced house shared with an aunt's family. Nobody at home has the confidence to challenge the school, which staff are conscious of. Obsessed with producing beats on FL Studio to the point of doing homework about it unprompted."
HAR1029,Reggie Vine,M,7,7A,Lea,Mr D. Okonjo,2014-10-16,11.9,White British,English,No,No,None,,2.1,8y 0m,Food Technology,English,87.9,4,165,33,0,poor,True,False,"Reggie Vine does not walk away from anything, which is most of the problem. Reports are consistent: strong in Food Technology, weak in English, average grade 2.1. Reading age of 8y 0m against a chronological age of 11y 10m, which is the root of most of it. 165 behaviour points and 33 detentions. Told a cover teacher to ""fuck off"" in March and got two days internal. Attendance 87.9% and falling. Weeks go by where nobody sees him. Home is above a shop on the parade with mum only. Supportive at home, but stretched thin. Talks about skateboarding constantly, in and out of lesson."
HAR1030,Shahida Sultana,F,7,7A,Lea,Mr D. Okonjo,2015-07-20,11.1,British Bangladeshi,Bengali,No,No,None,,3.5,9y 6m,Geography,English,100.0,0,11,3,0,ok,False,False,"Shahida Sultana is a decent worker who gets by on effort more than natural ability. Working at grade 3.5 on average, with Geography the clear strength and English the obvious weak spot. 11 behaviour points and 3 detentions, all for the same three things. 100.0% attendance and always on time. Lives in a one-bed with the living room as a bedroom with both parents and an older brother. Nobody at home has the confidence to challenge the school, which staff are conscious of. Runs art club and takes it more seriously than most of the staff do."
HAR1031,Tayyaba Raja,F,7,7B,Roding,Miss H. Prentice,2015-07-15,11.1,British Pakistani,Pashto,No,Yes,None,,4.7,9y 8m,Science,Drama,92.7,1,3,0,0,good,False,False,"Tayyaba Raja is the definition of middle of the road - never in trouble, never top of the class. Science is her best subject by a distance. Drama is the one her tutor has to chase every report. 3 behaviour points, which for this school is nothing at all. Attendance 92.7%, which the year team are keeping an eye on. At home it's both parents, both working in the family business, in a council flat on the fourth floor. Goes to table tennis every week without fail. Managed move in from another East London secondary at the start of Year 7."
HAR1032,Nasteho Gedi,F,7,7B,Roding,Miss H. Prentice,2015-07-15,11.1,Black African (Somali),Somali,Yes - developing,Yes,None,,2.1,8y 5m,Maths,Science,94.8,3,12,1,0,ok,False,False,"Nasteho Gedi is capable but so far behind that catching up now looks unrealistic without serious intervention. Maths is her best subject by a distance. Science is the one her tutor has to chase every report. Reading age of 8y 5m against a chronological age of 11y 1m, which is the root of most of it. 12 behaviour points, mostly talking, phones and being late to period one. Attendance has slipped to 94.8% and there's a pattern of Monday mornings. Lives with an older sister who does most of the parenting in a council flat on the fourth floor. Known across the year for anime."
HAR1033,Zehra Demir,F,7,7B,Roding,Miss H. Prentice,2014-10-17,11.9,White Other (Turkish / Kurdish),Kurdish (Kurmanji),Yes - new to English,No,None,,1.0,8y 7m,Science,Maths,77.7,3,169,40,0,poor,True,False,"Zehra Demir joined Harford last September with almost no English and has come a long way, fast. Average of 1.0 across the board, with a big spread between Science and Maths. Reading age of 8y 7m against a chronological age of 11y 10m, which is the root of most of it. 169 points, 40 detentions. Told her Head of Year, word for word, that the school could ""do one"" - then apologised properly the next day, which is the frustrating bit. Attendance 77.7%. Two attendance meetings held, one missed by the family. Lives with mum, dad and four siblings in a two-bed flat. Would rather be at gym club than in any lesson and says so openly."
HAR1034,Ishani Joshi,F,7,7B,Roding,Miss H. Prentice,2014-09-09,12.0,British Indian,Tamil,Yes - developing,Yes,SEN Support (K),ASD - Autism Spectrum Condition,1.0,6y 4m,Science,English,86.4,19,169,22,0,poor,True,False,"Ishani Joshi is on the SEND register for ASD - Autism Spectrum Condition and has a one-page profile all staff are meant to have read. Working at grade 1.0 on average, with Science the clear strength and English the obvious weak spot. Reading age of 6y 4m against a chronological age of 11y 11m, which is the root of most of it. 169 points, 22 detentions and 0 fixed-term suspensions. Last one was for calling a member of SLT a bitch in front of a Year 7 class. 86.4% attendance. The school has issued a formal warning and a penalty notice is on the table. Lives in a house with a converted loft room with an older sister who does most of the parenting. English isn't the main language at home, so letters get read by an older sibling. Talks about Millwall constantly, in and out of lesson."
HAR1035,Ellie Pike,F,7,7B,Roding,Miss H. Prentice,2015-01-25,11.6,White British,English,No,No,None,,5.4,11y 6m,Maths,English,90.4,19,158,35,0,poor,False,False,"Ellie Pike is funny, sharp and absolutely exhausting to teach. Currently 5.4 on average - on target in Maths, a full two grades off in English. 158 points and 35 detentions. Walked out of Maths shouting ""this lesson is dead"" and slammed the door hard enough to crack the glass. Attendance has slipped to 90.4% and there's a pattern of Monday mornings. Lives on the Bow Common side with dad and stepmum, in a terraced house shared with an aunt's family. One of the leaders in netball; it's the one place she's consistently brilliant."
HAR1036,Bethlehem Asfaw,F,7,7B,Roding,Miss H. Prentice,2015-07-23,11.1,Black African (Horn of Africa),Oromo,Yes - fluent,No,SEN Support (K),SpLD - Dyslexia,3.2,8y 3m,Science,Maths,98.4,1,13,4,0,ok,False,False,"Bethlehem Asfaw has SpLD - Dyslexia and works with the SEN team most weeks. Sits on grade 3.2 overall. Teachers in Science rate her highly, staff in Maths much less so. 13 behaviour points, mostly talking, phones and being late to period one. Attendance 98.4% - never an issue. At home it's mum and a disabled younger brother, in a house with a converted loft room. Parents' evening attendance is patchy, and it's shift work rather than a lack of interest. Goes to netball every week without fail."
HAR1037,Muna Nur,F,7,7B,Roding,Miss H. Prentice,2015-03-28,11.4,Black African (Somali),Somali,Yes - fluent,No,None,,6.0,11y 10m,English,Maths,91.8,18,22,1,0,ok,False,False,"Muna Nur is reliable in lessons she likes and drifts badly in the ones she doesn't. Working at grade 6.0 on average, with English the clear strength and Maths the obvious weak spot. 22 points logged - low-level stuff: chatting, out of seat, phone on the desk. Attendance has slipped to 91.8% and there's a pattern of Monday mornings. At home it's mum only, in a two-bed flat. Whoever's home in the morning is doing four school runs, so she's largely left to sort herself out. Runs football (boys') and takes it more seriously than most of the staff do. Managed move in from another East London secondary at the start of Year 7."
HAR1038,Rabia Akhtar,F,7,7B,Roding,Miss H. Prentice,2015-08-21,11.0,British Pakistani,Punjabi,Yes - new to English,No,None,,2.0,8y 5m,Music,PE,78.5,21,225,14,0,poor,True,False,"Rabia Akhtar is a new-to-English arrival who is far cleverer than her written work can show yet. Sits on grade 2.0 overall. Teachers in Music rate her highly, staff in PE much less so. Reading age 8y 5m - well below her actual age of 11y 0m - so she can't access half the exam papers unaided. 225 points, 14 detentions. Told her Head of Year, word for word, that the school could ""do one"" - then apologised properly the next day, which is the frustrating bit. Attendance 78.5% - persistently absent and now with the Education Welfare Officer. Lives in a maisonette off the high street with foster carers. Money is tight and everyone in the house knows it. One of the leaders in football (boys'); it's the one place she's consistently brilliant."
HAR1039,Farah Nasser,F,7,7B,Roding,Miss H. Prentice,2015-01-15,11.6,Arab,Arabic (Sudanese),Yes - fluent,Yes,None,,5.5,11y 7m,Spanish,English,97.0,1,4,1,0,good,False,False,"Farah Nasser sits mid-table across the board and is happy there, which frustrates her tutor. Average working grade 5.5. Spanish is well above the rest; English is dragging the profile down. 4 points logged, every one of them for uniform or equipment rather than conduct. 97.0% attendance and always on time. Home is in a house with a converted loft room with dad and stepmum. Older siblings came through Harford as well and staff remember the surname. Would rather be at gaming club than in any lesson and says so openly. Recently bereaved - lost her grandfather last year and it shows."
HAR1040,Hasibur Chowdhury,M,7,7B,Roding,Miss H. Prentice,2015-06-17,11.2,British Bangladeshi,Bengali,Yes - fluent,Yes,None,,4.3,9y 8m,English,Food Technology,94.4,2,2,0,0,good,False,False,Hasibur Chowdhury is quiet to the point of being invisible in some lessons and staff have to make an effort to notice him. English is his best subject by a distance. Food Technology is the one his tutor has to chase every report. 2 behaviour points and no detentions. Staff use him as the example. Attendance 94.4%. Punctuality is the bigger problem: 2 lates this term. Home is in a terraced house shared with an aunt's family with dad and stepmum. It's a full house and a quiet space to do homework doesn't really exist. One of the leaders in library monitors; it's the one place he's consistently brilliant.
HAR1041,Sadaf Aslam,F,7,7B,Roding,Miss H. Prentice,2014-10-24,11.9,British Pakistani,Punjabi,Yes - developing,Yes,SEN Support (K),ADHD (SEMH/medical),4.8,9y 6m,Science,Maths,92.3,4,3,1,0,good,False,False,"Sadaf Aslam is on the SEND register for ADHD (SEMH/medical) and has a one-page profile all staff are meant to have read. Working at grade 4.8 on average, with Science the clear strength and Maths the obvious weak spot. 3 points logged, every one of them for uniform or equipment rather than conduct. Attendance has slipped to 92.3% and there's a pattern of Monday mornings. Lives on the Carpenters Estate with dad and stepmum. Obsessed with BMX to the point of doing homework about it unprompted. Child in Need plan open; social worker attends termly."
HAR1042,Miraj Hussain,M,7,7B,Roding,Miss H. Prentice,2015-05-07,11.3,British Bangladeshi,Bengali,Yes - developing,Yes,SEN Support (K),Hearing Impairment,2.0,6y 2m,RE,Art,97.3,1,42,10,0,mixed,False,False,"Miraj Hussain is significantly behind where he should be and the gap is widening every term. Average of 2.0 across the board, with a big spread between RE and Art. Literacy is the bottleneck: reading age 6y 2m and handwriting that he's embarrassed about. 42 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance sits at 97.3% with no unauthorised absence. Lives on the estate off Barking Road with grandmother as main carer, in a one-bed with the living room as a bedroom. Parents' evening attendance is patchy, and it's shift work rather than a lack of interest. Big into cars and car spotting."
HAR1043,Aaliyah Campbell,F,7,7B,Roding,Miss H. Prentice,2015-03-06,11.5,Black Caribbean / Mixed Black Caribbean,English,No,No,None,,4.3,10y 2m,Music,Food Technology,96.2,1,2,0,0,good,False,False,"Aaliyah Campbell sits mid-table across the board and is happy there, which frustrates her tutor. Average working grade 4.3. Music is well above the rest; Food Technology is dragging the profile down. 2 behaviour points, which for this school is nothing at all. 96.2% attendance and always on time. Lives with aunt and uncle and five cousins in a council flat on the fourth floor. Whoever's home in the morning is doing four school runs, so she's largely left to sort herself out. Would rather be at Warhammer club than in any lesson and says so openly."
